                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.3744,                 3.5418,                 1.2564,                 1.2537,                0.50792,                0.30037,                0.30484,                0.17882,                 0.4003,                0.22729,                0.18007,                 0.0648,                 1.2239,                 3.9703,                 1.3796,                 1.1808,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.3736,                 3.5771,                 1.2501,                 1.2523,                0.54179,                0.29321,                0.31058,                0.18919,                0.43192,                0.22528,                0.19265,                0.07457,                  1.143,                 3.8933,                 1.2697,                 1.1432,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.3604,                 3.5388,                 1.2452,                 1.2495,                0.53417,                 0.3135,                0.32169,                0.19314,                0.41638,                0.24437,                 0.1934,                 0.0722,                 1.1185,                 3.9005,                  1.237,                 1.0963,              0.0010234,              0.0010234,              0.0010234
                     41,                   1.34,                 3.5044,                 1.2259,                 1.2465,                0.53533,                0.32255,                0.32463,                 0.1889,                 0.4002,                0.24484,                 0.1953,                0.07527,                 1.1046,                   3.91,                 1.2999,                 1.1293,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3285,                 3.5339,                 1.2439,                  1.253,                0.54211,                0.30868,                0.31598,                0.18108,                0.44313,                  0.251,                0.21134,                0.08079,                 1.1378,                 3.9124,                 1.3587,                 1.1295,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.3287,                 3.5172,                 1.2352,                 1.2505,                0.54987,                0.30044,                0.31118,                0.17909,                0.43475,                0.23754,                0.19894,                0.07767,                 1.1943,                 4.0027,                 1.3528,                 1.1513,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3635,                 3.4991,                 1.2488,                 1.2445,                 0.5816,                0.30466,                0.32328,                0.19556,                 0.4431,                0.23995,                 0.1935,                0.06973,                 1.1364,                 3.8912,                 1.3959,                 1.1036,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.3409,                 3.4957,                 1.2423,                 1.2524,                0.57692,                 0.3127,                0.32863,                0.19455,                 0.4664,                0.25121,                0.21069,                0.08026,                 1.1062,                 3.9042,                  1.288,                 1.0963,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.3308,                  3.502,                 1.2187,                 1.2372,                0.54154,                0.29924,                0.31216,                0.18842,                0.43243,                0.23895,                0.19273,                0.07528,                 1.1365,                 3.9421,                 1.3029,                 1.1011,             0.00092435,             0.00092435,             0.00092435
                     47,                  1.344,                 3.5124,                 1.2322,                 1.2403,                 0.5478,                0.32427,                0.33416,                 0.1917,                0.42192,                0.25261,                0.20372,                0.07664,                 1.1599,                 3.8683,                 1.3582,                 1.1118,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3642,                 3.5036,                 1.2315,                 1.2395,                0.53439,                0.30949,                0.31906,                0.19267,                0.41855,                0.25281,                0.20071,                0.07882,                 1.1466,                 3.8315,                 1.2823,                 1.1118,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.3073,                  3.487,                 1.2093,                 1.2381,                0.54788,                0.32244,                0.32841,                0.18394,                 0.4264,                0.24538,                0.20513,                0.07846,                 1.1271,                 3.8511,                 1.2781,                 1.1065,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.3174,                  3.507,                 1.2161,                 1.2439,                0.53289,                0.30687,                0.31175,                0.17637,                0.42809,                0.25362,                0.21001,                0.08061,                 1.1613,                 3.9087,                 1.3557,                 1.1182,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3005,                 3.4518,                 1.2169,                 1.2334,                 0.5674,                0.31491,                0.32921,                0.18699,                0.45594,                0.23895,                0.21034,                0.07682,                 1.1168,                 3.8123,                 1.3441,                   1.09,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2982,                 3.4365,                 1.1894,                 1.2386,                0.56735,                0.29805,                0.32155,                 0.1974,                0.44443,                0.24477,                0.20418,                0.07633,                 1.0695,                 3.8322,                  1.178,                 1.0754,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.3102,                 3.4753,                 1.2048,                 1.2343,                 0.5282,                0.30346,                0.30905,                0.18584,                0.43182,                0.25301,                0.20112,                0.07775,                 1.1655,                 3.9087,                 1.2771,                 1.1156,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3239,                 3.4338,                 1.2003,                 1.2298,                 0.5585,                0.31448,                0.32557,                0.19125,                0.44507,                 0.2506,                0.20142,                0.07726,                 1.1201,                 4.0335,                 1.2822,                 1.1059,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3418,                 3.3737,                  1.201,                 1.2156,                  0.547,                0.33079,                 0.3379,                0.20255,                0.43785,                0.24879,                0.20404,                0.07821,                 1.1096,                  3.826,                 1.2367,                 1.0863,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.334,                 3.4246,                 1.2034,                  1.217,                0.55533,                0.32255,                0.32966,                0.19689,                0.43269,                0.25643,                0.20665,                0.08044,                 1.1271,                 3.8689,                 1.2606,                 1.0996,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.3097,                  3.435,                 1.1849,                 1.2232,                0.55198,                0.30908,                0.32237,                  0.191,                0.42954,                0.23573,                0.19505,                0.07421,                 1.1634,                 3.8033,                  1.241,                 1.1288,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.3177,                 3.4409,                 1.1964,                 1.2213,                0.54937,                0.31692,                0.32286,                  0.186,                 0.4466,                0.25764,                0.21902,                0.08627,                 1.1447,                 3.7897,                 1.3733,                 1.1027,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.3168,                 3.4002,                 1.2014,                 1.2063,                0.55034,                0.30969,                 0.3267,                0.19856,                0.45101,                0.25121,                0.21173,                0.08272,                 1.0869,                 3.7768,                 1.2099,                 1.0677,             0.00070981,             0.00070981,             0.00070981
